id,name,description
1,Sun Shield Shirt,"High-performance sun protection shirt with UPF 50+ rating. Lightweight, moisture-wicking fabric. Available in multiple colors."
2,Trail Model Pants,"Durable hiking pants with UPF 40+ protection. Quick-dry fabric, multiple pockets. Ideal for outdoor adventures."
3,Tropical Breeze Shorts,"Breathable shorts with UPF 30 protection. Perfect for beach and casual outdoor use. Machine washable."
4,Mountain Glow Fleece,"Warm fleece jacket for cold mountain conditions. Made from recycled materials. Packable design."
5,Storm Defender Jacket,"Waterproof and windproof shell jacket. Sealed seams, adjustable hood. Suitable for all weather conditions."
6,Trek Pro Boots,"Waterproof hiking boots with slip-resistant sole. Ankle support and cushioned insole. Suitable for rough terrain."
7,Camping Comfort Sleeping Bag,"3-season sleeping bag rated to 20°F. Lightweight and compressible. Includes stuff sack."
8,Ultralight Tent,"2-person backpacking tent. Sets up in under 5 minutes. Freestanding design with rainfly."
9,Navigation Watch,"GPS watch with altimeter, barometer, and compass. Heart rate monitor. 20-hour battery life."
10,Hydration Pack,"20L backpack with 3L water reservoir. Insulated hose and bite valve. Multiple storage compartments."
